"","probe_ID","TE_Identity","Class","Family","SubFamily"
"1056","ILMN_1768407","Low_complexity:Low_complexity:GA-rich","Low_complexity","Low_complexity","GA-rich"
"1058","ILMN_1720477","SINE:Alu:AluSq2","SINE","Alu","AluSq2"
"1064","ILMN_1768407","Low_complexity:Low_complexity:CT-rich","Low_complexity","Low_complexity","CT-rich"
"1069","ILMN_1700627","SINE:Alu:AluJo","SINE","Alu","AluJo"
"1082","ILMN_1708625","LINE:L1:L1MA7","LINE","L1","L1MA7"
"1083","ILMN_1699805","LTR:ERV1:MER89-int","LTR","ERV1","MER89-int"
"1084","ILMN_1759287","LINE:L1:L1MCb","LINE","L1","L1MCb"
"1085","ILMN_1757651","Low_complexity:Low_complexity:AT_rich","Low_complexity","Low_complexity","AT_rich"
"1105","ILMN_1773966","LTR:ERVL:MER21C","LTR","ERVL","MER21C"
"1116","ILMN_1739562","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"1120","ILMN_1691966","LTR:ERVL-MaLR:MLT1C","LTR","ERVL-MaLR","MLT1C"
"1121","ILMN_1664965","LINE:L1:L1PB1","LINE","L1","L1PB1"
"1122","ILMN_3242315","snRNA:snRNA:U3","snRNA","snRNA","U3"
"1123","ILMN_3241034","snRNA:snRNA:U3","snRNA","snRNA","U3"
"1124","ILMN_3239574","snRNA:snRNA:U3","snRNA","snRNA","U3"
"1128","ILMN_1729680","SINE:MIR:MIR","SINE","MIR","MIR"
"1141","ILMN_1806215","LINE:L1:L1MC5","LINE","L1","L1MC5"
"1145","ILMN_1779572","LINE:L1:L1MB7","LINE","L1","L1MB7"
"1146","ILMN_1785277","LINE:L2:L2a","LINE","L2","L2a"
"1147","ILMN_3286870","SINE:Alu:FAM","SINE","Alu","FAM"
"1148","ILMN_1747315","LTR:ERVL:LTR16E2","LTR","ERVL","LTR16E2"
"1149","ILMN_1789346","LINE:L1:L1M5","LINE","L1","L1M5"
"1150","ILMN_1785277","LINE:L2:L2c","LINE","L2","L2c"
"1151","ILMN_2141030","SINE:Alu:AluSx","SINE","Alu","AluSx"
"1152","ILMN_1728193","LINE:L2:L2c","LINE","L2","L2c"
"1153","ILMN_1781465","DNA:TcMar-Tigger:Tigger4","DNA","TcMar-Tigger","Tigger4"
"1180","ILMN_2175737","SINE:Alu:AluSq2","SINE","Alu","AluSq2"
"1210","ILMN_1868983","LINE:L2:L2a","LINE","L2","L2a"
"1212","ILMN_1671651","LINE:L1:L1M3","LINE","L1","L1M3"
"1215","ILMN_1904169","Satellite:Satellite:D20S16","Satellite","Satellite","D20S16"
"1216","ILMN_1888358","Satellite:Satellite:D20S16","Satellite","Satellite","D20S16"
"1221","ILMN_1858153","LINE:L1:L1M2","LINE","L1","L1M2"
"1229","ILMN_1764503","LTR:ERVK:LTR14","LTR","ERVK","LTR14"
"1239","ILMN_1714155","Satellite:Satellite:HSATI","Satellite","Satellite","HSATI"
"1240","ILMN_1759612","LINE:RTE:L4","LINE","RTE","L4"
"1251","ILMN_1822442","LINE:L1:L1MD1","LINE","L1","L1MD1"
"1253","ILMN_1697203","Satellite:Satellite:SATR1","Satellite","Satellite","SATR1"
"1256","ILMN_1769636","DNA:hAT-Charlie:Charlie9","DNA","hAT-Charlie","Charlie9"
"1259","ILMN_1730328","LTR:ERVL:ERV3-16A3_I-int","LTR","ERVL","ERV3-16A3_I-int"
"1268","ILMN_3243006","DNA:hAT-Charlie:MER5A","DNA","hAT-Charlie","MER5A"
"1285","ILMN_1672360","LTR:ERV1:HERVIP10F-int","LTR","ERV1","HERVIP10F-int"
"1311","ILMN_1914054","LINE:CR1:L3","LINE","CR1","L3"
"1388","ILMN_3243593","rRNA:rRNA:SSU-rRNA_Hsa","rRNA","rRNA","SSU-rRNA_Hsa"
"1416","ILMN_2141030","SINE:Alu:AluSp","SINE","Alu","AluSp"
"1425","ILMN_1842653","LINE:L1:L1MB1","LINE","L1","L1MB1"
