	orig.ident	nCount_RNA	nFeature_RNA	Sample_ID	Cell_type
Myelocyte_E16	Myelocyte	898323.8936	24715	E16	Myelocyte
NK_cell_E16	NK_cell	31458546.1	50991	E16	NK_cell
Macrophage_E16	Macrophage	2890584.713	34515	E16	Macrophage
Platelets_E16	Platelets	254789.8082	13129	E16	Platelets
B_cell_E16	B_cell	2734141.884	33853	E16	B_cell
GMP_E16	GMP	2983648.947	32278	E16	GMP
Pro-Myelocyte_E16	Pro-Myelocyte	263042.3369	19204	E16	Pro-Myelocyte
Pre-B_cell_CD34-_E16	Pre-B_cell_CD34-	1967863.349	29506	E16	Pre-B_cell_CD34-
BM_E16	BM	5790.544892	557	E16	BM
Pro-B_cell_CD34+_E16	Pro-B_cell_CD34+	1200700.502	28889	E16	Pro-B_cell_CD34+
Neurons_E16	Neurons	5546726.136	47927	E16	Neurons
Neutrophils_E16	Neutrophils	910609.5644	25345	E16	Neutrophils
Endothelial_cells_E16	Endothelial_cells	622129.3858	22521	E16	Endothelial_cells
CMP_E16	CMP	286013.275	19729	E16	CMP
Astrocyte_E16	Astrocyte	6455513.492	49713	E16	Astrocyte
DC_E16	DC	720404.7821	24526	E16	DC
Chondrocytes_E16	Chondrocytes	138477.3383	7709	E16	Chondrocytes
Hepatocytes_E16	Hepatocytes	48304.54633	2846	E16	Hepatocytes
Gametocytes_E16	Gametocytes	694579.4297	20654	E16	Gametocytes
Smooth_muscle_cells_E16	Smooth_muscle_cells	414224.5715	17291	E16	Smooth_muscle_cells
MEP_E16	MEP	674471.6509	23417	E16	MEP
Tissue_stem_cells_E16	Tissue_stem_cells	51605.22222	2283	E16	Tissue_stem_cells
Neuroepithelial_cell_E16	Neuroepithelial_cell	255950.5175	10159	E16	Neuroepithelial_cell
HSC_CD34+_E16	HSC_CD34+	316906.5301	19458	E16	HSC_CD34+
iPS_cells_E16	iPS_cells	43365.82706	3824	E16	iPS_cells
HSC_-G-CSF_E16	HSC_-G-CSF	141893.7579	15854	E16	HSC_-G-CSF
Keratinocytes_E16	Keratinocytes	211487.1118	6708	E16	Keratinocytes
Erythroblast_E16	Erythroblast	79919.67181	6338	E16	Erythroblast
Epithelial_cells_E16	Epithelial_cells	50274.79836	3893	E16	Epithelial_cells
Fibroblasts_E16	Fibroblasts	325589.6348	11341	E16	Fibroblasts
Osteoblasts_E16	Osteoblasts	4878644.914	47337	E16	Osteoblasts
BM & Prog._E16	BM & Prog.	69666.75233	10131	E16	BM & Prog.
Embryonic_stem_cells_E16	Embryonic_stem_cells	268951.4342	11170	E16	Embryonic_stem_cells
MSC_E16	MSC	290842.3181	12820	E16	MSC
