	orig.ident	nCount_RNA	nFeature_RNA	Sample_ID	Cell_type
Hepatocytes_D22	Hepatocytes	394778.247	10649	D22	Hepatocytes
Gametocytes_D22	Gametocytes	750093.7118	16803	D22	Gametocytes
Smooth_muscle_cells_D22	Smooth_muscle_cells	543669.4127	16676	D22	Smooth_muscle_cells
MEP_D22	MEP	599896.4299	23075	D22	MEP
Tissue_stem_cells_D22	Tissue_stem_cells	107277.4411	3676	D22	Tissue_stem_cells
Neuroepithelial_cell_D22	Neuroepithelial_cell	659700.0407	17552	D22	Neuroepithelial_cell
HSC_CD34+_D22	HSC_CD34+	305096.0173	18882	D22	HSC_CD34+
iPS_cells_D22	iPS_cells	54739.57407	2393	D22	iPS_cells
HSC_-G-CSF_D22	HSC_-G-CSF	396063.9925	20150	D22	HSC_-G-CSF
Keratinocytes_D22	Keratinocytes	228163.3233	5874	D22	Keratinocytes
Erythroblast_D22	Erythroblast	207886.4584	9578	D22	Erythroblast
Epithelial_cells_D22	Epithelial_cells	202705.2288	5998	D22	Epithelial_cells
Fibroblasts_D22	Fibroblasts	263499.5717	10470	D22	Fibroblasts
Osteoblasts_D22	Osteoblasts	2746379.731	39704	D22	Osteoblasts
BM & Prog._D22	BM & Prog.	53656.56459	5698	D22	BM & Prog.
Embryonic_stem_cells_D22	Embryonic_stem_cells	213924.1568	6675	D22	Embryonic_stem_cells
MSC_D22	MSC	935949.8543	26465	D22	MSC
T_cells_E04	T_cells	36976770.78	52906	E04	T_cells
Monocyte_E04	Monocyte	20901308.14	46752	E04	Monocyte
Myelocyte_E04	Myelocyte	982130.0764	25365	E04	Myelocyte
NK_cell_E04	NK_cell	36916430.48	52310	E04	NK_cell
Macrophage_E04	Macrophage	3212155.682	34683	E04	Macrophage
Platelets_E04	Platelets	457239.8878	16163	E04	Platelets
B_cell_E04	B_cell	5212376.093	38857	E04	B_cell
GMP_E04	GMP	3927106.559	34961	E04	GMP
Pro-Myelocyte_E04	Pro-Myelocyte	309724.6244	19858	E04	Pro-Myelocyte
Pre-B_cell_CD34-_E04	Pre-B_cell_CD34-	1815099.521	29028	E04	Pre-B_cell_CD34-
BM_E04	BM	37676.85925	2573	E04	BM
Pro-B_cell_CD34+_E04	Pro-B_cell_CD34+	2209261.348	33361	E04	Pro-B_cell_CD34+
Neurons_E04	Neurons	12315137.68	53652	E04	Neurons
Neutrophils_E04	Neutrophils	516780.5747	22206	E04	Neutrophils
Endothelial_cells_E04	Endothelial_cells	232490.642	13430	E04	Endothelial_cells
CMP_E04	CMP	248339.4221	20019	E04	CMP
Astrocyte_E04	Astrocyte	7768008.97	50905	E04	Astrocyte
DC_E04	DC	462261.4626	22243	E04	DC
Chondrocytes_E04	Chondrocytes	342555.7773	10908	E04	Chondrocytes
Hepatocytes_E04	Hepatocytes	41704.46527	3156	E04	Hepatocytes
Gametocytes_E04	Gametocytes	105659.1183	5486	E04	Gametocytes
Smooth_muscle_cells_E04	Smooth_muscle_cells	729736.2768	21674	E04	Smooth_muscle_cells
MEP_E04	MEP	629859.6197	24448	E04	MEP
Tissue_stem_cells_E04	Tissue_stem_cells	19804.04812	1506	E04	Tissue_stem_cells
Neuroepithelial_cell_E04	Neuroepithelial_cell	1041500.719	26509	E04	Neuroepithelial_cell
HSC_CD34+_E04	HSC_CD34+	504566.4356	22647	E04	HSC_CD34+
iPS_cells_E04	iPS_cells	131574.9309	4395	E04	iPS_cells
HSC_-G-CSF_E04	HSC_-G-CSF	121023.7605	14162	E04	HSC_-G-CSF
Keratinocytes_E04	Keratinocytes	24014.8764	1459	E04	Keratinocytes
Erythroblast_E04	Erythroblast	66345.67602	8766	E04	Erythroblast
Epithelial_cells_E04	Epithelial_cells	41329.70286	3610	E04	Epithelial_cells
Fibroblasts_E04	Fibroblasts	710379.3868	20328	E04	Fibroblasts
